,destCode,destName,orgCode,orgName,deptDateTime,arrvDateTime,price,currency,marktName,marktCode,optName,optCode,flightNum,duration,numConex,url
0,CVG,Cincinnati,DEN,Denver,2023-12-01T20:06,2023-12-02T00:42,46.05,USD,Frontier Airlines,F9,Frontier Airlines,F9,F94128,156.0,1,"https://flights-us.gotogate.com/air/DENCVG01DEC/1/-/d/c:Y?selectionKey=F94128-01Dec23-W,awkchl"
1,CVG,Cincinnati,DEN,Denver,2023-12-01T09:40,2023-12-01T14:27,128.12,USD,United Airlines,UA,United Airlines,UA,UA1978,167.0,1,"https://flights-us.gotogate.com/air/DENCVG01DEC/1/-/d/c:Y?selectionKey=UA1978-01Dec23-N,bgw6dt"
2,CVG,Cincinnati,DEN,Denver,2023-12-01T17:38,2023-12-01T22:25,128.12,USD,United Airlines,UA,United Airlines,UA,UA2629,167.0,1,"https://flights-us.gotogate.com/air/DENCVG01DEC/1/-/d/c:Y?selectionKey=UA2629-01Dec23-N,bdjdjf"
3,CVG,Cincinnati,DEN,Denver,2023-12-01T05:00,2023-12-01T12:27,131.04,USD,American Airlines,AA,American Airlines,AA,AA2612,327.0,3,"https://flights-us.gotogate.com/air/DENCVG01DEC/1/-/d/c:Y?selectionKey=AA2612-01Dec23-B_AA1581-01Dec23-B,1541r9c"
4,CVG,Cincinnati,DEN,Denver,2023-12-01T12:11,2023-12-01T19:47,129.5,USD,American Airlines,AA,American Airlines,AA,AA1328,336.0,3,"https://flights-us.gotogate.com/air/DENCVG01DEC/1/-/d/c:Y?selectionKey=AA1328-01Dec23-B_AA2021-01Dec23-B,151o2m1"
5,CVG,Cincinnati,DEN,Denver,2023-12-01T08:25,2023-12-01T16:32,129.5,USD,American Airlines,AA,American Airlines,AA,AA863,367.0,3,"https://flights-us.gotogate.com/air/DENCVG01DEC/1/-/d/c:Y?selectionKey=AA863-01Dec23-B_AA1915-01Dec23-B,13gs2l2"
6,CVG,Cincinnati,DEN,Denver,2023-12-01T07:12,2023-12-01T16:32,129.5,USD,American Airlines,AA,American Airlines,AA,AA573,440.0,3,"https://flights-us.gotogate.com/air/DENCVG01DEC/1/-/d/c:Y?selectionKey=AA573-01Dec23-B_AA1915-01Dec23-B,13e8ro4"
7,CVG,Cincinnati,DEN,Denver,2023-12-01T12:11,2023-12-01T21:47,129.5,USD,American Airlines,AA,American Airlines,AA,AA1328,456.0,3,"https://flights-us.gotogate.com/air/DENCVG01DEC/1/-/d/c:Y?selectionKey=AA1328-01Dec23-B_AA5134-01Dec23-B,15670ht"
8,CVG,Cincinnati,DEN,Denver,2023-12-01T14:19,2023-12-01T20:38,131.04,USD,American Airlines,AA,American Airlines,AA,AA2363,259.0,3,"https://flights-us.gotogate.com/air/DENCVG01DEC/1/-/d/c:Y?selectionKey=AA2363-01Dec23-B_AA3972-01Dec23-B,15b2lhl"
9,CVG,Cincinnati,DEN,Denver,2023-12-01T16:41,2023-12-01T23:59,131.04,USD,American Airlines,AA,American Airlines,AA,AA1832,318.0,3,"https://flights-us.gotogate.com/air/DENCVG01DEC/1/-/d/c:Y?selectionKey=AA1832-01Dec23-B_AA803-01Dec23-B,13190jy"
10,CVG,Cincinnati,DEN,Denver,2023-12-02T20:06,2023-12-03T00:42,35.84,USD,Frontier Airlines,F9,Frontier Airlines,F9,F94128,156.0,1,"https://flights-us.gotogate.com/air/DENCVG02DEC/1/-/d/c:Y?selectionKey=F94128-02Dec23-Z,axb1a5"
11,CVG,Cincinnati,DEN,Denver,2023-12-02T09:40,2023-12-02T14:27,97.25,USD,United Airlines,UA,United Airlines,UA,UA1978,167.0,1,"https://flights-us.gotogate.com/air/DENCVG02DEC/1/-/d/c:Y?selectionKey=UA1978-02Dec23-N,bha82a"
12,CVG,Cincinnati,DEN,Denver,2023-12-02T17:38,2023-12-02T22:25,97.25,USD,United Airlines,UA,United Airlines,UA,UA2629,167.0,1,"https://flights-us.gotogate.com/air/DENCVG02DEC/1/-/d/c:Y?selectionKey=UA2629-02Dec23-N,bdxf7w"
13,CVG,Cincinnati,DEN,Denver,2023-12-02T05:45,2023-12-02T10:25,35.84,USD,Frontier Airlines,F9,Frontier Airlines,F9,F93286,160.0,1,"https://flights-us.gotogate.com/air/DENCVG02DEC/1/-/d/c:Y?selectionKey=F93286-02Dec23-Z,azj3nl"
14,CVG,Cincinnati,DEN,Denver,2023-12-02T05:00,2023-12-02T12:27,100.67,USD,American Airlines,AA,American Airlines,AA,AA2612,327.0,3,"https://flights-us.gotogate.com/air/DENCVG02DEC/1/-/d/c:Y?selectionKey=AA2612-02Dec23-B_AA1581-02Dec23-B,155hq9u"
15,CVG,Cincinnati,DEN,Denver,2023-12-02T18:40,2023-12-03T19:33,94.04,USD,Sun Country,SY,Sun Country,SY,SY660,1373.0,3,"https://flights-us.gotogate.com/air/DENCVG02DEC/1/-/d/c:Y?selectionKey=SY660-02Dec23-V_SY219-03Dec23-Y,13x7fq6"
16,CVG,Cincinnati,DEN,Denver,2023-12-02T07:12,2023-12-02T15:04,99.1,USD,American Airlines,AA,American Airlines,AA,AA573,352.0,3,"https://flights-us.gotogate.com/air/DENCVG02DEC/1/-/d/c:Y?selectionKey=AA573-02Dec23-B_AA5141-02Dec23-B,13d4175"
17,CVG,Cincinnati,DEN,Denver,2023-12-02T14:19,2023-12-02T21:05,100.67,USD,American Airlines,AA,American Airlines,AA,AA2363,286.0,3,"https://flights-us.gotogate.com/air/DENCVG02DEC/1/-/d/c:Y?selectionKey=AA2363-02Dec23-B_AA3690-02Dec23-B,15au62w"
18,CVG,Cincinnati,DEN,Denver,2023-12-02T16:41,2023-12-02T23:59,100.67,USD,American Airlines,AA,American Airlines,AA,AA1832,318.0,3,"https://flights-us.gotogate.com/air/DENCVG02DEC/1/-/d/c:Y?selectionKey=AA1832-02Dec23-B_AA803-02Dec23-B,132nl00"
